,Timestamp,UserID,IP,Page,Page_Error,Age,Gender
0,2023-10-25 14:21:12.770044,0960,129.228.224.105,Blog,0,56,Female
1,2023-10-25 14:07:12.770044,0623,60.190.22.222,Home,0,36,Male
2,2023-10-25 14:01:12.770044,0188,113.81.148.231,Home,0,25,Male
3,2023-10-25 13:59:12.770044,0295,175.236.26.220,Contact,0,46,Male
4,2023-10-25 14:41:12.770044,1959,30.118.224.200,Services,0,50,Male
5,2023-10-25 14:27:12.770044,1566,129.9.29.117,About,0,52,Male
6,2023-10-25 14:45:12.770044,0373,243.93.44.97,Home,0,45,Male
7,2023-10-25 14:01:12.770044,1615,16.93.106.118,Services,0,67,Male
8,2023-10-25 14:36:12.770044,0538,143.27.1.83,About,0,69,Male
9,2023-10-25 14:30:12.770044,1322,163.67.248.103,About,0,54,Female
10,2023-10-25 13:57:12.770044,1963,151.15.142.40,Services,0,38,Male
11,2023-10-25 13:54:12.770044,0931,52.16.240.237,Services,0,60,Male
12,2023-10-25 14:08:12.770044,1394,215.228.205.4,Home,0,32,Female
13,2023-10-25 14:19:12.770044,1200,63.159.31.168,Products,0,27,Female
14,2023-10-25 13:52:12.770044,1155,168.94.171.89,Home,0,29,Male
15,2023-10-25 14:09:12.770044,1147,179.91.67.15,Products,0,20,Female
16,2023-10-25 14:03:12.770044,1808,232.245.201.16,Services,0,41,Male
17,2023-10-25 14:42:12.770044,0518,56.146.166.253,Products,0,19,Male
18,2023-10-25 14:42:12.770044,0176,1.185.224.152,Home,0,40,Male
19,2023-10-25 14:00:12.770044,1944,50.171.11.13,Services,0,19,Female
20,2023-10-25 14:42:12.770044,0241,125.7.197.203,Contact,0,46,Female
21,2023-10-25 14:40:12.770044,0087,192.28.238.235,Products,0,26,Male
22,2023-10-25 14:34:12.770044,0841,247.231.254.131,About,0,62,Female
23,2023-10-25 14:37:12.770044,0537,47.30.91.55,About,0,63,Female
24,2023-10-25 14:38:12.770044,1808,250.146.159.184,Services,0,21,Male
25,2023-10-25 14:40:12.770044,1218,111.70.176.62,Products,0,37,Male
26,2023-10-25 14:03:12.770044,1541,162.216.45.137,Blog,0,42,Female
27,2023-10-25 14:03:12.770044,1949,117.124.134.203,Services,0,19,Male
28,2023-10-25 13:50:12.770044,0750,150.182.12.68,About,0,43,Male
29,2023-10-25 14:08:12.770044,0339,212.150.218.114,Services,0,39,Male
30,2023-10-25 13:56:12.770044,0541,74.52.147.210,Services,0,44,Male
31,2023-10-25 14:06:12.770044,1188,78.93.170.178,Home,0,44,Female
